ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,Seller_type,City,Neightbourhood,Links,Description,Date_Scraped
id8166003794255,Piso  en  Raval. Piso alto y luminoso en la rambla del raval,380000,3,2,87,4368,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-alto_y_luminoso_en_la_rambla_del_raval_raval-barcelona-i8166003794255.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"En zona inmejorable del casco antiguo de Barcelona, en plena Rambla del Raval, encontramos este fabuloso piso de 87 m2....",2023-06-18
id3492002807281,Piso  en  Carmel. Oportunidad bajos a estrenar,124900,2,1,60,2082,FLAT,SECOND_HAND,Barcelona,Carmel,https://www.habitaclia.com/comprar-piso-oportunidad_bajos_a_estrenar_carmel-barcelona-i3492002807281.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Grocasa el Carmel presenta piso de 55m² útiles totalmente reformado a estrenar ubicado en zona tranquila, distribuido en...",2023-06-18
id5329004354382,Piso  en  El Camp de l´Arpa del Clot. Oportunidad en camp del arpa!!!,310000,4,2,98,3163,FLAT,SECOND_HAND,Barcelona,El Camp de l´Arpa del Clot,https://www.habitaclia.com/comprar-piso-oportunidad_en_camp_del_arpa_el_camp_de_l_arpa_del_clot-barcelona-i5329004354382.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,REF. CM-DIV-310  LA CASA AGENCY PRESENTA:   VISITAS AL CRISTINA () SEIS-CERO-UNO-TRES-CUATRO-...,2023-06-18
id29169000001993,Piso  Carrer de casanova,595000,2,2,82,7256,FLAT,SECOND_HAND,Barcelona,L´Antiga Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-l_antiga_esquerra_de_l_eixample-barcelona-i29169000001993.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,Piso de lujo situada en la calle Casanova de Barcelona es una verdadera joya inmobiliaria. Ubicado en una de las zonas m...,2023-06-18
id5352001946852,Piso  en  Dreta de l´Eixample. Elegante principal de lujo,2300000,3,2,230,10000,FLAT,SECOND_HAND,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-elegante_principal_de_lujo_dreta_de_l_eixample-barcelona-i5352001946852.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"PISO EN DRETA DE L'EIXAMPLE    BERKSHIRE HATHAWAY HomeServices Barcelona, consultora especializada en la comercializa...",2023-06-18
id9912004381838,Piso  en  Roquetes. Piso con 3 habitaciones con aire acondicionado,122000,3,1,62,1968,FLAT,SECOND_HAND,Barcelona,Roquetes,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_aire_acondicionado_roquetes-barcelona-i9912004381838.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Se vende piso listo para entrar a vivir y luminoso, en el barrio de Roquetes, muy cerca del metro Roquetes (Línea L3) y...",2023-06-18
id3055004435146,Piso  en  St. Pere - Sta. Caterina - El Born. Excelente ubicación,545000,4,1,170,3206,FLAT,SECOND_HAND,Barcelona,St. Pere,https://www.habitaclia.com/comprar-piso-excelente_ubicacion_st_pere_sta_caterina_el_born-barcelona-i3055004435146.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"En la mejor zona del Born, a dos pasos del Arc de Triomf y del Parc de la Ciutadella. Vivir en el centro histórico de B...",2023-06-18
id13370000000144,"Piso  en  Prosperitat. 3 habitaciones (2 dobles), con patio amplio.",209900,3,1,129,1627,FLAT,SECOND_HAND,Barcelona,Prosperitat,https://www.habitaclia.com/comprar-piso-3_habitaciones_2_dobles_con_patio_amplio_prosperitat-barcelona-i13370000000144.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"3 habitaciones (2 Dobles), Con Patio amplio.  •	Habitación Matrimonio. •	Habitación Doble. •	Habitación Individual....",2023-06-18
id9873002102828,"Piso  en  El Camp d´en Grassot i Gràcia Nova. Piso de tres habitaciones en el corazón de gràcia, en la calle h",335000,3,2,80,4188,FLAT,SECOND_HAND,Barcelona,El Camp d´en Grassot i Gràcia Nova,https://www.habitaclia.com/comprar-piso-de_tres_habitaciones_en_el_corazon_de_gracia_en_la_calle_h_el_camp_d_en_grassot_i_gracia_nova-barcelona-i9873002102828.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Acogedor piso en buen estado de 80m2 en finca rehabilitada con ascensor. Especial inversores, se vende con inquilino. Se...",2023-06-18
id5903001748693,Piso  en  Sarrià. Piso alto de 230m2+ terraza de 12 m2 en venta  en bosch i gimper,1445000,4,3,230,6283,FLAT,SECOND_HAND,Barcelona,Sarrià,https://www.habitaclia.com/comprar-piso-alto_de_230m2_terraza_de_12_m2_en_venta_en_bosch_i_gimper_sarria-barcelona-i5903001748693.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,Espectacular piso alto de 230 m2 + terraza de 12 m2 en  venta en Bosch i Gimpera. Salón-comedor en tres ambientes con sa...,2023-06-18
id41974000000030,Piso  en  Sant Gervasi - Galvany. Magnífica vivienda de 240 m2 en fleming. ubicación exclusiva,1395000,5,2,240,5813,FLAT,SECOND_HAND,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-magnifica_vivienda_de_240_m2_en_fleming_ubicacion_exclusiva_sant_gervasi_galvany-barcelona-i41974000000030.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Magnífica vivienda de 240 m2 en Fleming. Ubicación exclusiva.  Se trata de un piso muy luminoso, todo exterior, con am...",2023-06-18
id28371003773805,"Piso  Banys nous. Piso en venta en barcelona, con 209 m2, 4 habitaciones y 5 baños",1290000,4,5,230,5609,FLAT,SECOND_HAND,Barcelona,Gòtic,https://www.habitaclia.com/comprar-piso-en_venta_en_con_209_m2_4_habitaciones_y_5_banos_gotic-barcelona-i28371003773805.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,La prestigiosa inmobiliaria Colibree se enorgullece en presentar un exclusivo piso en pleno corazón del Barrio Gótico d...,2023-06-18
id5612002808441,Piso  en  Sant Antoni. Piso con 4 habitaciones con ascensor,852652,4,2,126,6767,FLAT,SECOND_HAND,Barcelona,Sant Antoni,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_sant_antoni-barcelona-i5612002808441.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso reformado en venta en Sant Antoni, Barcelona  Luminoso piso a reformar de 126m2 construidos según catastro, ubica...",2023-06-18
id38535000000454,Piso  en  Turó de la Peira. Piso alto próximo plaza virrei amat,248000,4,1,95,2611,FLAT,SECOND_HAND,Barcelona,Turó de la Peira,https://www.habitaclia.com/comprar-piso-alto_proximo_plaza_virrei_amat_el_turo_de_la_peira-barcelona-i38535000000454.htm?pag=52&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso alto para reformar en Barcelona en el barrio Turó de la Peira, a 4 minutos de la Plaza Virrei Amat. El inmueble dis...",2023-06-18
id4017003409633,Piso  en  Sant Gervasi - Galvany. Piso en venta junto a francesc macia,725000,2,2,138,5254,FLAT,SECOND_HAND,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-en_venta_junto_a_francesc_macia_sant_gervasi_galvany-barcelona-i4017003409633.htm?pag=52&hab=1&ban=1&f=&geo=p&from=list&lo=55,Ubicada en uno de los barrios más privilegiados de la ciudad junto a la plaza Francesc Macià.  Amplio salón-comedor co...,2023-06-18
id37307004257124,Piso  en  El Camp d´en Grassot i Gràcia Nova. Dúplex de ensueño con terraza/jardín en finca seminueva con pisc,1090000,4,3,173,6301,FLAT,SECOND_HAND,Barcelona,El Camp d´en Grassot i Gràcia Nova,https://www.habitaclia.com/comprar-piso-duplex_de_ensueno_con_terrazajardin_en_finca_seminueva_con_pisc_el_camp_d_en_grassot_i_gracia_nova-barcelona-i37307004257124.htm?pag=52&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Nos complace presentarle esta exclusiva propiedad, un impresionante dúplex en planta baja con características excepciona...",2023-06-18
id5612002808262,Piso  en  Sant Antoni. Piso con 4 habitaciones con ascensor,570000,4,2,126,4524,FLAT,SECOND_HAND,Barcelona,Sant Antoni,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_sant_antoni-barcelona-i5612002808262.htm?pag=52&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso a reformar con elementos originales en Sant Antoni Luminoso piso a reformar de 126m2 construidos según catastro, u...",2023-06-18
id38992000001205,Piso  Carrer de llobera. Piso con 2 habitaciones,101000,2,1,76,1329,FLAT,SECOND_HAND,Barcelona,Roquetes,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_roquetes-barcelona-i38992000001205.htm?pag=52&hab=1&ban=1&f=&geo=p&from=list&lo=55,"C/ Llobera    Piso de 76 m2 aprox, exterior a calle.   Distribuido en:  2 dormitorios  1 baño con ducha  cocina i...",2023-06-18
